,cleaned_label,description,domain,id,range,superproperty
0,a side,,['http://dbpedia.org/ontology/Single'],http://dbpedia.org/ontology/aSide,['http://www.w3.org/2001/XMLSchema#string'],
1,abbeychurch blessing,,['http://dbpedia.org/ontology/Cleric'],http://dbpedia.org/ontology/abbeychurchBlessing,['http://www.w3.org/2001/XMLSchema#string'],
2,abbeychurch blessing charge,,['http://dbpedia.org/ontology/Cleric'],http://dbpedia.org/ontology/abbeychurchBlessingCharge,['http://www.w3.org/2001/XMLSchema#string'],
3,abbreviation,,,http://dbpedia.org/ontology/abbreviation,['http://www.w3.org/2001/XMLSchema#string'],
4,able to grind,,['http://dbpedia.org/ontology/Mill'],http://dbpedia.org/ontology/ableToGrind,['http://www.w3.org/2001/XMLSchema#string'],
5,absolute magnitude,,['http://dbpedia.org/ontology/CelestialBody'],http://dbpedia.org/ontology/absoluteMagnitude,['http://www.w3.org/2001/XMLSchema#double'],
6,abstentions,Number of abstentions from the vote,['http://dbpedia.org/ontology/StatedResolution'],http://dbpedia.org/ontology/abstentions,['http://www.w3.org/2001/XMLSchema#nonNegativeInteger'],
7,abstract,Reserved for DBpedia.,,http://dbpedia.org/ontology/abstract,['http://www.w3.org/1999/02/22-rdf-syntax-ns#langString'],
8,academic advisor,,['http://dbpedia.org/ontology/Scientist'],http://dbpedia.org/ontology/academicAdvisor,['http://dbpedia.org/ontology/Person'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
9,academic discipline,"An academic discipline, or field of study, is a branch of knowledge that is taught and researched at the college or university level. Disciplines are defined (in part), and recognized by the academic journals in which research is published, and the learned societies and academic departments or faculties to which their practitioners belong.",['http://dbpedia.org/ontology/AcademicJournal'],http://dbpedia.org/ontology/academicDiscipline,,['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isAbout']
10,academy award,,['http://dbpedia.org/ontology/Artist'],http://dbpedia.org/ontology/academyAward,['http://dbpedia.org/ontology/Award'],['http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#coparticipatesWith']
